Date,Open,High,Low,Close,Volume
2021-01-04,239.82,248.1633,239.0631,243.2566,145914585
2021-01-05,241.22,246.9466,239.7333,245.0366,96735520
2021-01-06,252.83,258,249.7,251.9933,134099923
2021-01-07,259.21,272.33,258.4,272.0133,154496865
2021-01-08,285.3333,294.83,279.4633,293.34,225166613
2021-01-11,283.1333,284.81,267.874,270.3966,178662468
2021-01-12,277,289.3333,275.78,283.1466,138812174
2021-01-13,284.2533,286.8233,277.3333,284.8033,99937510
2021-01-14,281.13,287.6666,279.5833,281.6666,93798999
2021-01-15,284,286.6333,273.0333,275.3866,116332812
2021-01-19,279.2666,283.3333,277.6666,281.5166,76100948
2021-01-20,286.2466,286.5,279.0933,283.4833,76997648
2021-01-21,285,285.2399,280.4733,281.6633,61794396
2021-01-22,278.1033,282.6666,276.2066,282.2133,60199506
2021-01-25,285,300.1333,279.6067,293.6,123520212
2021-01-26,297.1266,298.6333,290.5333,294.3633,69394807
2021-01-27,290.1166,297.1666,286.22,288.0533,82001888
2021-01-28,273.3333,282.6666,267,278.4766,79134158
2021-01-29,276.6666,280.8033,260.0333,264.51,104972260
2021-02-01,271.43,280.6666,265.1867,279.9366,76174178
2021-02-02,281.56,293.5,280.7335,290.93,73038637
2021-02-03,292.34,292.6933,284.3548,284.8966,55030536
2021-02-04,285,285.5,277.8066,283.33,47437985
2021-02-05,281.6666,288.2566,279.6566,284.0766,55699926
2021-02-08,289.89,292.59,284.9166,287.8066,60485166
2021-02-09,285.04,286.6,280.5833,283.1533,45472955
2021-02-10,281.2116,281.6066,266.6733,268.2733,108648281
2021-02-11,270.8133,276.6266,267.2416,270.5533,64868256
2021-02-12,267.0866,272.4433,261.7768,272.04,71304937
2021-02-16,272.6666,273.6666,264.1466,265.4066,59406966
2021-02-17,259.6966,266.6133,254.0033,266.05,78236708
2021-02-18,260.3,264.8966,258.7566,262.46,53871185
2021-02-19,265,265.5966,259.1233,260.4333,56874786
2021-02-22,254.2133,256.1666,236.7333,238.1666,111809171
2021-02-23,220.71,237.8699,206.3333,232.9466,199820660
2021-02-24,237.2833,248.3333,231.39,247.34,110300861
2021-02-25,242.05,245.7355,223.5266,227.4066,117071592
2021-02-26,233.3333,235.5666,219.8366,225.1666,123267522
2021-03-01,230.0366,290.6666,228.35,239.4766,81408728
2021-03-02,239.4266,240.37,228.3333,228.8133,71196487
2021-03-03,229.33,233.5666,217.235,217.7333,90623889
2021-03-04,218.6,291.3133,200,207.1466,197758610
2021-03-05,208.6866,209.2806,179.83,199.3166,268189407
2021-03-08,200.1833,206.7083,186.2633,187.6666,155360896
2021-03-09,202.7266,226.03,198.4033,224.5266,202570010
2021-03-10,233.4333,239.2833,218.3533,222.6866,181817028
2021-03-11,233.1333,234.1666,225.7266,233.2,108761681
2021-03-12,223.3333,231.6266,222.0464,231.2433,100751530
2021-03-15,231.3633,237.7266,228.0133,235.98,88270449
2021-03-16,234.45,235.9733,223.6666,225.6266,96587020
2021-03-17,218.9566,234.5766,217.0033,233.9366,121117362
2021-03-18,228.0966,229.7433,217.3333,217.72,100107070
2021-03-19,215.5333,219.0766,208.2067,218.29,128681953
2021-03-22,228.1966,233.2066,222.9166,223.3333,118536672
2021-03-23,225.2566,225.9333,219.17,220.72,91475619
2021-03-24,222.6366,222.6733,210.0366,210.09,101385520
2021-03-25,204.3333,215.1666,203.1666,213.4633,117674562
2021-03-26,213.9566,214.6066,199.9633,206.2366,101558500
2021-03-29,205.2133,205.4933,198.6733,203.7633,85910979
2021-03-30,200.5833,212.5533,197.0033,211.8733,118297092
2021-03-31,215.54,224,213.7033,222.6433,100011880
2021-04-01,229.4566,230.8067,219.8066,220.5833,105895151
2021-04-05,235.9033,236.0533,228.2333,230.35,125528323
2021-04-06,230.1,232.1833,227.1233,230.54,84815528
2021-04-07,229,230.46,222.6133,223.6566,78928298
2021-04-08,225.7933,229.8499,223.8816,227.9333,71772997
2021-04-09,225.9233,226.99,223.1433,225.6733,64311276
2021-04-12,228.5666,234.9333,227.3633,233.9933,87407019
2021-04-13,237.5666,254.3333,236.8866,254.1066,133958443
2021-04-14,256.9,260.2633,242.6766,244.0766,147052305
2021-04-15,247.7,247.8966,240.4366,246.2833,83546708
2021-04-16,242.8833,249.8033,241.5333,246.5933,83938598
2021-04-19,239.8666,241.8,230.6,238.21,119058702
2021-04-20,239.14,245.75,236.895,239.6633,106827131
2021-04-21,234.9233,248.28,232.6666,248.04,93646539
2021-04-22,247.1666,251.2566,239.3466,239.8966,106770791
2021-04-23,239.9333,245.7866,238.4866,243.1333,85241679
2021-04-26,247,249.7666,244.2017,246.0666,93115509
2021-04-27,239.32,241.3333,234.45,234.9133,88311009
2021-04-28,232.1366,236.1666,231.2,231.4666,66813157
2021-04-29,233.17,234.0833,222.8334,225.6666,86536359
2021-04-30,222.53,238.49,222.0466,236.48,122276172
2021-05-03,234.6,235.3333,226.8333,228.3,81129428
2021-05-04,226.3133,227.8154,219.2336,224.5333,89217969
2021-05-05,227.02,228.4318,222.4466,223.6466,65705677
2021-05-06,226.92,227.0066,216.6666,221.18,83353868
2021-05-07,221.9333,230,220.0733,224.1233,70407517
2021-05-10,221.6333,221.6833,209.2033,209.68,94177269
2021-05-11,199.7466,209.0333,198.5333,205.7333,139511714
2021-05-12,200.83,206.8033,195.5883,196.63,101470960
2021-05-13,200.515,202.1533,186.55,190.5633,132554773
2021-05-14,194.47,197.6233,190.1533,196.58,100112590
2021-05-17,191.851,196.5766,187.0666,192.2766,96743410
2021-05-18,189.3333,198.75,187.7933,192.6233,110491721
2021-05-19,184.1833,188.7366,182.3266,187.82,118735212
2021-05-20,191.6666,196.2833,190.3566,195.5933,92463369
2021-05-21,198.7033,198.8933,193.3333,193.6266,78091808
2021-05-24,193.8666,204.8266,191.2166,202.1466,103674280
2021-05-25,202.4366,204.6633,198.57,201.5633,84017798
2021-05-26,202.52,208.7233,200.5,206.3766,85917939
2021-05-27,206.7466,210.3766,205.4033,210.2833,79111778
2021-05-28,209.5,211.8633,207.46,208.4066,68211127
2021-06-01,209.2666,211.2666,206.85,207.9666,54254675
2021-06-02,206.71,207.7866,199.7133,201.7066,69908347
2021-06-03,200.6,201.5166,190.4066,190.9466,90335679
2021-06-04,193.2366,200.2033,192.4,199.6833,72110707
2021-06-07,197.275,203.3333,194.2933,201.71,67631047
2021-06-08,207.67,207.6966,198.5,201.1966,78160238
2021-06-09,200.7233,203.93,199.21,199.5933,49753715
2021-06-10,201.2933,205.53,200.1666,203.3733,71758837
2021-06-11,203.41,204.1866,200.5066,203.2966,48615905
2021-06-14,204.0766,208.4966,203.06,205.8966,61271946
2021-06-15,205.5633,205.5966,199.41,199.7866,53292455
2021-06-16,199.1783,202.8333,197.8333,201.6233,66432397
2021-06-17,200.6293,207.1566,200.4466,205.5333,68104057
2021-06-18,204.4566,209.45,203.9333,207.77,73682737
2021-06-21,208.16,210.4633,202.96,206.9433,74438227
2021-06-22,206.0833,209.5231,205.1666,207.9033,57476676
2021-06-23,210.6666,219.068,210.0133,218.8566,93297699
2021-06-24,224.9966,232.54,222.5366,226.6066,137947184
2021-06-25,229.86,231.27,222.9,223.9566,97490140
2021-06-28,223.88,231.5666,223.44,229.5733,64884486
2021-06-29,228.2166,229.1699,225.2966,226.92,52143935
2021-06-30,226.59,230.9366,226.0466,226.5666,56774586
2021-07-01,227.9733,229.33,224.2666,225.9733,55903566
2021-07-02,226.3266,233.3333,224.42,226.3,81292118
2021-07-06,227.2371,228,217.1334,219.86,69853357
2021-07-07,221.4233,221.9,212.7733,214.8833,56375886
2021-07-08,209.4566,218.1433,206.82,217.6033,68319967
2021-07-09,217.7283,219.6366,214.8966,218.9833,54421655
2021-07-12,220.7333,229.08,220.7203,228.5666,77781128
2021-07-13,228.7733,231.0933,222.0986,222.8466,62898276
2021-07-14,223.5833,226.2033,217.6133,217.7933,64923576
2021-07-15,219.4633,222.0466,212.6266,216.8666,60628716
2021-07-16,218.2266,218.8999,214.0666,214.74,49112915
2021-07-19,209.9633,215.7333,207.0966,215.4066,63891276
2021-07-20,217.33,220.7972,213.5003,220.1666,46461395
2021-07-21,219.87,221.6199,216.7633,218.43,41860024
2021-07-22,218.8142,220.7233,214.8667,216.42,45317195
2021-07-23,215.4533,216.2666,212.4333,214.46,43814824
2021-07-26,216.99,222.7333,215.7033,219.2066,76009688
2021-07-27,221.1333,222.1666,209.08,214.9266,98439880
2021-07-28,215.665,218.3233,213.1333,215.66,48019805
2021-07-29,216.5966,227.8966,216.2666,225.7833,91183929
2021-07-30,223.9193,232.51,223,229.0666,88969239
2021-08-02,233.3333,242.3133,232.8,236.5566,100847320
2021-08-03,239.6666,240.8833,233.67,236.58,64860756
2021-08-04,237,241.6333,236.31,236.9733,51007955
2021-08-05,238.6666,240.3166,237.1366,238.21,38758924
2021-08-06,237.3,238.7766,232.5433,233.0333,46869155
2021-08-09,236.7233,239.6766,235.0433,237.92,44146054
2021-08-10,237.9966,238.8633,233.96,236.6633,40296934
2021-08-11,237.57,238.3933,234.7366,235.94,29401677
2021-08-12,235.4466,240.9333,233.1333,240.75,53045075
2021-08-13,241.2366,243.3,238.1133,239.0566,50194415
2021-08-16,235.0233,236.5,225.4666,228.7233,69309907
2021-08-17,224.22,224.86,216.28,221.9033,71163847
2021-08-18,223.2493,231.9233,223.1166,229.6633,61048146
2021-08-19,226.07,228.85,222.53,224.49,42940474
2021-08-20,227.6166,230.7099,224.5666,226.7533,44525614
2021-08-23,228.4806,237.3766,226.9168,235.4333,60794586
2021-08-24,236.8933,238.4066,234.2133,236.1633,39249214
2021-08-25,235.6766,238.99,234.6666,237.0666,37936684
2021-08-26,236.1033,238.4666,232.54,233.72,39642874
2021-08-27,235,238.3333,234.0333,237.3066,41501284
2021-08-30,238.2383,243.6666,237.5766,243.6366,55812666
2021-08-31,244.3333,246.7966,242.1466,245.24,62566326
2021-09-01,244.6933,247.33,243.7567,244.6966,39613024
2021-09-02,244.8333,246.99,243.5133,244.13,38390224
2021-09-03,244.083,244.6666,241.4,244.5233,45813155
2021-09-07,246.6666,253.4,246.42,250.9733,60119496
2021-09-08,253.86,254.8166,246.9244,251.29,56379126
2021-09-09,251.1366,254.0333,250.5433,251.62,42233194
2021-09-10,253.2,254.2033,244.84,245.4233,45552515
2021-09-13,246.738,248.26,236.2833,247.6666,68857447
2021-09-14,247.5233,251.49,245.4666,248.1633,55574646
2021-09-15,248.3333,252.2866,246.12,251.9433,46073075
2021-09-16,250.9433,252.97,249.2033,252.33,41770174
2021-09-17,252.3833,253.68,250,253.1633,84612548
2021-09-20,244.8525,247.3333,239.5416,243.39,74272957
2021-09-21,244.93,248.2466,243.48,246.46,48992165
2021-09-22,247.8421,251.2233,246.3733,250.6466,45378815
2021-09-23,251.6666,252.7333,249.3066,251.2133,35842594
2021-09-24,248.63,258.2666,248.1866,258.13,64119066
2021-09-27,257.7066,266.3333,256.4366,263.7866,84211988
2021-09-28,262.4,265.2133,255.3933,259.1866,76144268
2021-09-29,259.9333,264.5,256.8933,260.4366,62828646
2021-09-30,260.3333,263.0435,258.3333,258.4933,53867885
2021-10-01,259.4666,260.26,254.53,258.4066,51094235
2021-10-04,265.5,268.9899,258.7066,260.51,91450029
2021-10-05,261.5986,265.77,258.0666,260.1966,55297896
2021-10-06,258.7333,262.22,257.74,260.9166,43898314
2021-10-07,261.82,268.3333,261.1266,264.5366,57587346
2021-10-08,265.4033,265.46,260.3033,261.83,50215805
2021-10-11,262.55,267.08,261.8333,263.98,42600964
2021-10-12,266.9766,270.7733,265.5233,268.5733,66060127
2021-10-13,270.1566,271.8033,268.5933,270.36,42360244
2021-10-14,271.83,273.4166,271.1167,272.7733,36741514
2021-10-15,274.5793,281.07,274.1166,281.01,56773716
2021-10-18,283.93,291.7533,283.8233,290.0366,72621727
2021-10-19,292.51,292.65,287.5033,288.09,52143395
2021-10-20,288.45,289.83,285.7933,288.6,42096154
2021-10-21,285.3333,300,285.1682,298,94444359
2021-10-22,298.5,303.3333,296.9866,303.2266,68642527
2021-10-25,316.8433,348.34,314.7333,341.62,188556319
2021-10-26,341.5633,364.98,333.8133,339.4766,187244929
2021-10-27,346.5533,356.96,343.5933,345.9533,115579392
2021-10-28,356.1016,360.3333,351.4,359.0133,81639518
2021-10-29,360.62,371.7366,357.735,371.3333,89755269
2021-11-01,381.6666,403.25,372.8866,402.8633,168146177
2021-11-02,386.4516,402.8633,382,390.6666,128213413
2021-11-03,392.4433,405.13,384.2066,404.62,103885570
2021-11-04,411.47,414.4966,405.6666,409.97,76192238
2021-11-05,409.3333,413.29,402.6666,407.3633,64886436
2021-11-08,383.2616,399,377.6666,387.6466,100337170
2021-11-09,391.2,391.5,337.1733,341.1666,177317538
2021-11-10,336.8033,359.3666,329.1033,355.9833,128408173
2021-11-11,367.59,368.3233,351.56,354.5033,67189717
2021-11-12,349.1666,351.5,339.7333,344.4733,76719458
2021-11-15,339.21,343.9933,326.2,337.7966,104326960
2021-11-16,334.4366,352.3999,334.06,351.5766,79627088
2021-11-17,354.5033,373.2133,351.8333,363.0033,94336119
2021-11-18,368.85,370.6666,358.34,365.46,62696796
